,CPU 제조사,CPU 넘버,메모리 타입,메모리 용량,SSD 형태,SSD 용량,그래픽 칩셋,그래픽 메모리,운영체제,CPU Score,GPU Score,용도,최저가,제품명,제품 코드,그래픽 제조사,저장장치1,저장장치2,저장장치1 크기,저장장치2 크기
0,1,i5-10400F,DDR4,16,SSD,256GB,GeforceGTX1660SUPER,Geforce GTX 1660 SUPER 6GB,0,12370,12770,1,758320,다나와표준PC 게임용 210611,14351177,1,SSD,SSD,256,0
1,1,i5-12400,DDR4,8,SSD,500GB,UHDGraphics730,UHD Graphics 730 ,0,19524,1644,0,642750,다나와표준PC 온라인강의용 220208,16304876,0,SSD,SSD,500,0
2,1,i5-12400F,DDR4,16,M.2,500GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19804,17071,1,1182020,다나와표준PC 게임용 220616,17179445,1,M.2,M.2,500,0
3,1,i5-12400F,DDR4,16,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,1,19804,17071,1,1298970,HP 빅터스 TG02-0020kr,16969496,1,M.2,M.2,512,0
4,0,5600G,DDR4,16,M.2,250GB,5600G,5600G  ,0,19836,2580,0,447072,한성컴퓨터 프리워커 F5600,17617910,0,M.2,M.2,250,0
5,0,5600G,DDR4,16,SSD,240GB,5600G,5600G  ,0,19836,2580,0,508710,다나와표준PC 게임용 211009,15354266,0,SSD,SSD,240,0
6,1,i5-12400F,DDR4,16,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19804,17071,1,1305650,이엠텍 레드빗 PRO - I5M51,17200724,1,M.2,M.2,512,0
7,0,5600,DDR4,16,M.2,500GB,GeforceRTX3050,Geforce RTX 3050 8GB,0,2818,12707,1,998290,다나와표준PC 게임용 220913,17772782,1,M.2,M.2,500,0
8,1,i5-12400,DDR4,8,M.2,256GB,UHDGraphics730,UHD Graphics 730 ,1,19524,1644,0,809000,삼성전자 데스크탑5 DM500TEA-A58A,17435873,0,M.2,M.2,256,0
9,1,i5-12400,DDR4,8,SSD,1TB,UHDGraphics730,UHD Graphics 730 ,1,19524,1644,0,935000,삼성전자 데스크탑5 DM500TEA-A58A,17685296,0,SSD,SSD,1000.0,0
10,1,i5-12400,DDR4,8,SSD,512GB,UHDGraphics730,UHD Graphics 730 ,1,19524,1644,0,867000,삼성전자 데스크탑5 DM500TEA-A58A,17685230,0,SSD,SSD,512,0
11,0,5600X,DDR4,16,M.2,256GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,21959,17071,1,989990,영웅컴퓨터 영웅 875 게이밍울트라560X,13546484,1,M.2,M.2,256,0
12,1,i5-12400F,DDR4,16,M.2,500GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19804,17071,1,1118510,포유컴퓨터 샵다나와 게이밍 SHOP 19,14645990,1,M.2,M.2,500,0
13,0,4650G,DDR4,8,SSD,250GB,4650G,4650G  ,0,16323,2370,0,371420,프리플로우 ELITE 홈오피스 R5,16861505,0,SSD,SSD,250,0
14,0,5600G,DDR4,8,M.2,256GB,5600G,5600G  ,1,19836,2580,0,678990,HP 파빌리온 TP01-2023KL WIN10,14809187,0,M.2,M.2,256,0
15,0,5600G,DDR4,8,M.2,512GB,5600G,5600G  ,1,19836,2580,0,718990,HP 파빌리온 TP01-2023KL WIN10,14809265,0,M.2,M.2,512,0
16,0,5600G,DDR4,8,M.2,1TB,5600G,5600G  ,1,19836,2580,0,758990,HP 파빌리온 TP01-2023KL WIN10,15634688,0,M.2,M.2,1000.0,0
17,0,5600G,DDR4,8,M.2,256GB,5600G,5600G  ,1,19836,2580,0,728990,HP 파빌리온 TP01-2023KL WIN10,15634679,0,M.2,M.2,256,0
