,CPU 제조사,그래픽 제조사,메모리 용량,저장장치1 크기,저장장치2 크기,운영체제,CPU Score,GPU Score,용도,최저가,메모리 타입_DDR3L,메모리 타입_DDR4,메모리 타입_DDR5,메모리 타입_GDDR6,메모리 타입_LPDDR4,메모리 타입_LPDDR5,저장장치1_M.2,저장장치1_SSD,저장장치1_eMMC,저장장치1_mSATA,저장장치2_M.2,저장장치2_SSD,저장장치2_eMMC,저장장치2_mSATA
3104,1,0,16,512.0,0.0,1,4138,727,0,920000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
619,1,0,32,512.0,0.0,0,19524,1644,0,875000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5496,1,1,16,512.0,0.0,0,19804,6297,1,790570,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2233,0,0,16,256.0,0.0,0,24568,2775,0,881790,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5074,1,1,16,512.0,0.0,0,27395,20406,1,1341620,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3556,1,0,8,256.0,0.0,1,6235,1521,0,840000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3346,1,0,8,512.0,0.0,0,19524,1644,0,721900,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4101,1,0,16,256.0,0.0,0,20287,2496,0,744990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
764,1,0,8,128.0,120.0,1,2367,1521,0,507750,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4156,1,0,8,64.0,128.0,1,2654,368,0,390990,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1544,1,0,16,250.0,0.0,0,16798,1279,0,792470,0,1,0,0,0,0,1,0,0,0,1,0,0,0
58,1,0,4,128.0,0.0,1,2367,1521,0,417880,0,1,0,0,0,0,0,0,1,0,0,0,1,0
3479,1,0,8,256.0,0.0,1,4286,727,0,580000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5162,1,1,8,256.0,0.0,0,17576,12770,1,929000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
470,1,1,8,256.0,0.0,1,19524,7820,1,1422180,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5632,1,0,32,1000.0,0.0,0,11085,0,0,1112990,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4596,1,0,16,512.0,0.0,1,8776,1279,0,818990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1478,0,0,16,240.0,0.0,0,24568,2775,0,779880,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3320,1,0,16,512.0,0.0,0,19524,1644,0,657750,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2721,1,0,8,256.0,0.0,0,12950,1279,0,798000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
680,1,0,64,1000.0,0.0,1,34667,19225,1,3920000,0,0,1,0,0,0,1,0,0,0,1,0,0,0
